Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
,83,,SF,,,QF,,QF,,QF,NQ,L16,QF,,L16,NQ,,L16,P,P,P,P,P,P,QF,NQ,QF,QF,NQ,QF,L16,NQ,P,P,QF,P,P,P,13.02,31.799999999999997,9,3,40.943396226415096,0.040943396226415095,26.0,44.0,44
,145,QF,QF,SF,SF,QF,QF,SF,QF,SF,SF,SF,SF,F,L16,QF,,,SF,QF,QF,QF,P,SF,NQ,P,P,P,P,P,QF,P,P,P,P,P,P,P,7.4799999999999995,20.650000000000002,6,7,36.22276029055689,0.03622276029055689,29.0,45.0,45
,142,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,QF,P,L16,P,QF,P,QF,QF,L16,P,P,P,P,P,P,P,8.350000000000001,24.549999999999997,7,7,34.01221995926681,0.03401221995926681,31.0,46.0,46
,120,,,,,,,,,,,,,,,NQ,,NQ,NQ,P,P,P,P,P,QF,QF,P,L16,NQ,QF,L16,NQ,P,P,P,P,P,P,8.04,24.2,7,6,33.22314049586777,0.03322314049586777,32.0,47.0,47
,40,,,,,NQ,NQ,NQ,NQ,F,F,L16,QF,NQ,L16,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,L16,P,5.08,15.6,2,1,32.56410256410256,0.03256410256410256,33.0,48.0,48
,122,,,,,,,,,,,,,,,,,L16,NQ,NQ,L16,NQ,P,L16,NQ,NQ,P,QF,NQ,QF,L16,NQ,P,P,P,P,P,P,7.279999999999999,23.65,11,6,30.782241014799155,0.030782241014799153,37.0,49.0,49
,95,NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L16,P,P,L16,P,P,P,P,3.0999999999999996,11.6,2,4,26.72413793103448,0.02672413793103448,40.0,50.0,50
,124,,,,,,QF,,QF,,,QF,QF,,L16,QF,,L16,QF,P,L16,QF,P,L16,L16,NQ,P,P,NQ,P,L16,QF,P,P,P,P,P,P,5.3,20.2,8,6,26.237623762376238,0.026237623762376237,41.0,51.0,51
,85,,NQ,,QF,,,,,,QF,,,QF,QF,QF,SF,QF,QF,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,QF,P,P,P,4.37,17.6,3,3,24.829545454545453,0.024829545454545455,44.0,52.0,52
,86,,,,,,,,,,QF,L16,,QF,QF,QF,SF,QF,QF,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,QF,P,P,P,4.37,17.6,3,3,24.829545454545453,0.024829545454545455,44.0,52.0,53
,141,,,,NQ,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,L16,QF,P,L16,P,P,P,P,P,P,P,4.15,17.5,4,7,23.714285714285715,0.023714285714285716,46.0,54.0,54
,123,NQ,,,QF,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,QF,P,QF,P,P,P,P,P,P,4.199999999999999,17.799999999999997,3,6,23.595505617977526,0.023595505617977526,47.0,55.0,55
,84,,,,,,,,,,,,,,,,,,,,,,,,,QF,NQ,P,NQ,P,P,NQ,P,P,QF,P,P,P,3.75,17.75,5,3,21.12676056338028,0.02112676056338028,49.0,56.0,56
,97,,NQ,,QF,NQ,,,,,,,,,,,,,,,,,,,,,,L16,NQ,P,P,P,P,L16,P,P,P,P,2.8,13.5,3,4,20.74074074074074,0.02074074074074074,50.0,57.0,57
,176,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,NQ,P,QF,P,P,P,P,P,P,P,P,P,P,3.08,15.600000000000001,5,10,19.743589743589745,0.019743589743589744,51.0,58.0,58
,79,NQ,,,NQ,,,SF,,QF,NQ,L16,NQ,QF,,,,L16,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,QF,P,P,3.0,15.9,1,2,18.867924528301884,0.018867924528301886,52.0,59.0,59
,199,,,,,,,,,NQ,,NQ,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,2.2399999999999998,12.899999999999999,1,13,17.364341085271317,0.017364341085271316,53.0,60.0,60
,189,,NQ,,,,,,,,,,,,,,,,,,,NQ,P,P,QF,NQ,P,P,P,P,P,P,P,P,P,P,P,P,2.2399999999999998,14.0,3,12,15.999999999999998,0.015999999999999997,55.0,61.0,61
,162,,,NQ,NQ,NQ,NQ,,NQ,,,,,,,NQ,,,NQ,P,L16,P,P,L16,P,P,QF,P,NQ,P,P,P,P,P,P,P,P,P,2.35,15.250000000000002,4,9,15.40983606557377,0.01540983606557377,56.0,62.0,62
,211,QF,L16,,,QF,,,,,,,,NQ,,,,,,,QF,P,P,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,1.96,13.25,2,14,14.79245283018868,0.01479245283018868,59.0,63.0,63
