Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
C,SELF,NQ,L16,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,195
C,SHAWCROSS,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,196
C,STOCKS,,,,,,,,,,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,197
C,WHEELER,,,,,,,,,NQ,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,198
D,ARWAS,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,199
D,COOPER,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,200
D,FOSTER,QF,,QF,,QF,SF,,SF,NQ,QF,L16,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,201
D,LEACH,NQ,,,QF,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,202
D,LIGHT,,,,,,,,NQ,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,203
D,ORCHARD,,,,,,,,,,,,,SF,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,204
D,PATEL,,,NQ,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,205
D,STEPHENS,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,206
E,ROSE,QF,QF,,SF,L16,QF,QF,,SF,SF,QF,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,207
F,ADAIR,NQ,,,,,,NQ,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,208
F,COLQUHOUN,,,,,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,209
F,EARLAM,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,210
F,IMRIE,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,211
F,WATT,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,212
G,CHAPMAN,,,,,,,,NQ,,,,,,L16,,,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,213
G,GARRETT,,,,,,,,,,,,,NQ,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,214
G,HOSKINS,,L16,,,L16,,NQ,L16,,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,215
G,LEWIS,NQ,,,QF,,,NQ,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,216
G,LINFIELD,,,,,,,,,,,,,,NQ,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,217
G,PANAYI,NQ,,,NQ,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,218
H,BROMLEY-DAVENPORT,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,219
H,CAMPBELL,,,,,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,220
H,FLOWERS,NQ,,,NQ,,,NQ,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,221
H,HARDMAN,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,222
H,LEWIS,QF,L16,,NQ,QF,,,,,,,,NQ,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,19,0.0,0.0,97.0,97.0,223
H,RAVI,,,,,,,,,,,,,,NQ,NQ,,L16,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,19,0.0,0.0,97.0,97.0,224
H,THISTLETHWAYTE,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,225
H,TURNBULL,,NQ,,,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,226
H,WINTOUR,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,227
I,KIDD,,,,,,,,,,,,,,,NQ,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,228
I,MORGAN,,,,,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,229
I,WAGLAND,,NQ,,NQ,L16,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,230
J,ABBOTT,,QF,QF,,L16,,,,,,L16,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,231
J,BETTS,,,,,L16,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,232
J,CAPSTICK-DALE,,,,,,,NQ,NQ,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,233
J,DORAN,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,234
J,FLOWERS,,L16,,,,,,,NQ,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,235
J,HOLROYD,,,,NQ,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,236
J,HUMES,,,,,,,NQ,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,237
J,HUTCHESON,,,,,,,,,,,,NQ,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,238
J,HUTTER,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,239
J,LAWRENCE,,,NQ,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,240
J,LEFORT,,L16,NQ,,L16,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,241
J,MOORE,,,,,,,,,,,,,,NQ,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,242
J,O'NEILL,,,QF,,,,,,NQ,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,243
J,PARHAM,,,,,,,,,,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,244
J,PATEL,,QF,,,NQ,,,,NQ,,,NQ,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,245
J,SAUNDERS,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,246
J,STALEY,,,,,,,,NQ,,,,,,NQ,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,247
J,WELLER,,,,,,NQ,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,248
J,ZAZA,,,,,,,,,,,,,NQ,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,249
K,NWUBA,,,,,NQ,NQ,NQ,NQ,QF,NQ,L16,,NQ,L16,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,250
K,WALTON,,,,,,NQ,,,,,NQ,QF,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,251
L,MACLEAN,,,,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,252
M,BASSOT,,,,,,,,,,,,,,,,,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,253
M,BEARD,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,19,0.0,0.0,97.0,97.0,254
M,BROOKES,,,,,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,255
M,CAPSTICK-DALE,,,,,,,,NQ,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,256
M,CHANRAI,,,NQ,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,257
M,HOLDSWORTH,,,,,,,,NQ,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,258
M,HULSE,NQ,,,NQ,,,NQ,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,259
M,LEWIN,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,19,0.0,0.0,97.0,97.0,260
M,LI,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,261
M,MORRIS,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,262
M,MOSTAFAVI,,,NQ,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,263
M,PRITCHARD,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,264
M,ROWSE,,,,,,,,,,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,265
M,SCURR,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,266
M,SKJOTT,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,267
M,WINTLE,,,NQ,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,268
N,ADDY,,,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,269
N,BUNYAN,,NQ,NQ,NQ,NQ,,QF,,,,,,NQ,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,270
N,COX,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,271
N,GILL,,,,,,,,,,,,,,NQ,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,272
N,PEARCE,,,,NQ,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,273
O,LIGHT,,,,,,,,NQ,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,274
O,ROWSE,,,,,,,,,,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,275
O,SANDER,,,,,,,,,,,,NQ,,L16,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,276
P,BOUGHTON,,NQ,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,277
P,COHEN,,L16,QF,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,278
P,SCHOLEY,,,,,,,QF,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,279
P,THOMPSON,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,280
P,WHITE,QF,L16,QF,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,281
P,WORTH,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,282
R,BRYAN,,L16,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,283
R,MALIK,NQ,,NQ,NQ,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,284
R,ORCHARD,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,285
R,PATTISON,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,286
R,WILSON,NQ,QF,QF,,L16,,,,,,L16,NQ,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,287
S,CASS,,,,,,,,,,,,,,NQ,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,288
S,CHAPMAN,,,,,NQ,,,L16,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,289
S,CHRISTOPHER,,NQ,,NQ,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,290
S,CLARK,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,291
S,COTTY,,,,,,,NQ,,,NQ,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,292
S,GANAPATHI,,,,NQ,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,293
S,GUPTA,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,294
S,KELLY,,,,,,,,NQ,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,295
S,LITTLE,,,,,L16,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,296
S,PATEL,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,297
S,UJOODIA,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,298
S,WOOLFRIES,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,299
S,YICK,,,,NQ,,,NQ,,NQ,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,300
SA,BALAJI,,,,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,301
SU,BALAJI,,,,,,,,,,,NQ,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,302
T,BREESE,NQ,,,NQ,,,NQ,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,303
T,BROMLEY-DAVENPORT,,,,,,,,,,,,,NQ,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,304
T,FLETCHER,,,,,,,,NQ,NQ,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,305
T,HUSSELBEE,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,306
T,KIRKBY,,,,,,,NQ,,,,NQ,,,,,,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,307
T,THURNHAM,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,308
T,WELD,,,,,,,NQ,L16,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,309
T,WELT,,,,,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,310
TIM,FLETCHER,NQ,,,NQ,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,311
TOM,FLETCHER,NQ,,,NQ,,NQ,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,312
V,SHETTY,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,313
W,CAREW,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,314
W,GIBBONS,NQ,,,QF,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,315
W,JONES,,L16,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,316
W,REID,,,,,,,,,NQ,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,317
A,TANSEY,,,NQ,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,318
B,WARE,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,319
D,SCHOFIELD,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,320
F,MCDONALD-BROWN,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,321
G,POOK,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,322
I,UJOODIA,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,323
J,FRASER-ANDREWS,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,324
J,REYNOLDS,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,325
M,BEVANS,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,326
M,CHIBBER,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,327
M,JOHNSON,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,328
M,MAINWARING,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,329
