Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
N,CHOUSTIKOV,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,NQ,NQ,NQ,NQ,NQ,P,P,P,NQ,NQ,P,0.0,16.6,10,1,0.0,0.0,97.0,97.0,97
S,BURNELL,,,,,,,,,,,,NQ,NQ,NQ,NQ,,NQ,P,NQ,NQ,P,NQ,NQ,NQ,NQ,P,P,NQ,NQ,NQ,P,NQ,P,P,P,P,P,0.0,15.200000000000001,10,5,0.0,0.0,97.0,97.0,98
T,GREGORY,,,,,,NQ,,NQ,NQ,,,NQ,NQ,NQ,NQ,,NQ,P,NQ,NQ,P,NQ,NQ,NQ,NQ,P,P,NQ,NQ,NQ,P,NQ,P,P,P,P,P,0.0,15.200000000000001,10,5,0.0,0.0,97.0,97.0,99
W,THOMAS,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,NQ,P,NQ,NQ,NQ,P,P,P,NQ,P,P,0.0,14.8,6,2,0.0,0.0,97.0,97.0,100
O,AVERY,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,NQ,NQ,P,P,P,P,NQ,P,0.0,14.650000000000002,7,1,0.0,0.0,97.0,97.0,101
M,CHINERY,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,NQ,NQ,P,P,NQ,P,NQ,NQ,P,P,P,P,P,P,P,0.0,13.6,7,7,0.0,0.0,97.0,97.0,102
A,LUMBARD,,,,,,,,,,,,,,,NQ,NQ,NQ,NQ,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,NQ,P,P,P,P,NQ,P,P,0.0,13.3,6,2,0.0,0.0,97.0,97.0,103
V,GUDIWALA,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,NQ,P,P,P,P,P,NQ,P,0.0,13.149999999999999,5,1,0.0,0.0,97.0,97.0,104
M,TAVRA,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,NQ,P,NQ,P,P,NQ,NQ,P,P,P,P,P,P,P,P,0.0,13.0,6,8,0.0,0.0,97.0,97.0,105
C,LUMBARD,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,NQ,NQ,NQ,P,P,P,NQ,P,P,NQ,P,P,P,P,P,P,P,0.0,12.95,7,7,0.0,0.0,97.0,97.0,106
W,SEATH,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,NQ,P,P,P,P,P,P,P,0.0,12.95,5,7,0.0,0.0,97.0,97.0,107
A,KNIGHT,,,,,,,,L16,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,NQ,P,0.0,12.85,3,1,0.0,0.0,97.0,97.0,108
S,THATCHER,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,P,P,NQ,P,P,P,P,0.0,12.6,4,4,0.0,0.0,97.0,97.0,109
T,CAMPBELL,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,NQ,P,0.0,12.6,2,1,0.0,0.0,97.0,97.0,110
D,REDMOND,,NQ,,,,NQ,,,,,,,,,,NQ,P,P,P,P,P,NQ,NQ,NQ,P,P,NQ,P,P,P,P,P,P,P,P,P,P,0.0,12.350000000000001,4,10,0.0,0.0,97.0,97.0,111
E,EVANS,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,P,P,P,P,P,P,P,P,P,0.0,12.350000000000001,4,10,0.0,0.0,97.0,97.0,112
R,MORGAN,,,,,,,NQ,NQ,,,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,12.1,6,12,0.0,0.0,97.0,97.0,113
J,AINSLIE,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.8,3,11,0.0,0.0,97.0,97.0,114
N,ARGYLE,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.8,3,11,0.0,0.0,97.0,97.0,115
P,HOLLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,P,P,NQ,P,P,0.0,11.7,4,2,0.0,0.0,97.0,97.0,116
P,HALL,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,0.0,11.600000000000001,2,1,0.0,0.0,97.0,97.0,117
